NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00164495-01,NC(=S)N\N=C\C1=CC=CN=C1
NCGC00260091-01,[Cl-].[Cl-].C1C=CC=C1[Ti++]C2=CC=CC2
NCGC00258317-01,CCN(CC)CCOC(=O)C(C)=C
NCGC00159480-03,CNC1(CCCCC1=O)C2=C(Cl)C=CC=C2
NCGC00091532-02,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1
NCGC00258348-01,CNC(=O)NC
NCGC00260300-01,OP(O)(=O)CN(CP(O)(O)=O)CP(O)(O)=O
NCGC00259517-01,CNC(=O)OC1=CC=CC=C1OC(C)C
NCGC00092329-02,OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3
NCGC00257010-01,CC1(C)CNC(NC1)=NN=C(\C=C\C2=CC=C(C=C2)C(F)(F)F)/C=C/C3=CC=C(C=C3)C(F)(F)F
NCGC00259744-01,OC(=O)CN(CC(O)=O)CC(O)=O
NCGC00254048-01,CC(=O)C(\C)=C\C1C(C)=CCCC1(C)C
NCGC00182544-01,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)COC(=O)CC(C)(C)C
NCGC00254042-01,CCC(C)C1=C(O)C=CC=C1
NCGC00160458-01,CCNC(=O)NCC1=CC(Cl)=CC=C1
NCGC00095163-01,Cl.OC(=O)C1=CN(C2=CC=C(F)C=C2)C3=C(C=C(F)C(=C3)N4CCNCC4)C1=O
NCGC00254046-01,CC1=C(O)C(=O)C=CO1
NCGC00259543-01,CCCOCCO
NCGC00259955-01,CC(C)CC(=O)CC(C)C
NCGC00182622-01,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=CC=C3
NCGC00016889-01,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C3=C(C=CS3)S1(=O)=O
NCGC00258870-01,CC(C)C1=CC(=CC=C1)C(C)C
NCGC00094779-01,OCC1=CC=CC=C1O
NCGC00164503-01,CC(O)C(O)=O.CCCCCCCCCCCCCCNCCO
NCGC00247330-02,Cl.CN[C@H](C)CC1=CC=CC=C1
NCGC00259298-01,CC1=CC=C(N)C(N)=C1
NCGC00016861-05,CC(C)CC1=CC=C(C=C1)[C@H](C)C(O)=O
NCGC00254220-01,OC1=CC=C(C=C1)[N+]([O-])=O
NCGC00015987-05,CN1CCN(CC(=O)N2C3=C(C)SC=C3C(=O)NC4=CC=CC=C24)CC1
NCGC00164583-01,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(O)=O
NCGC00258820-01,CCCCC(CC)C(Cl)=O
NCGC00167565-01,[Na+].CN1C(CC2=CC(=NNC(N)=O)C(=O)C=C12)S([O-])(=O)=O
NCGC00185910-01,CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl
NCGC00256015-01,SCCSCCS
NCGC00256683-01,O=CCCC1=CC=CC=C1
NCGC00259267-01,[Na+].CCCCCCCCCC(CC)C1=CC=C(C=C1)S([O-])(=O)=O
NCGC00162179-02,OCCN1CCN(CC\C=C2\C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1
NCGC00163245-01,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC
NCGC00257816-01,COC1=C(N)C=C2OC3=C(C=CC=C3)C2=C1
NCGC00016160-02,OC(=O)CCC(O)=O.CN1CCN(CC1)C2=NC3=C(OC4=C2C=C(Cl)C=C4)C=CC=C3
NCGC00259074-01,CC1=CC(=C(C)C=C1O)C2(OS(=O)(=O)C3=C2C=CC=C3)C4=C(C)C=C(O)C(C)=C4
NCGC00258712-01,CN\C(NCCSCC1=C(C)NC=N1)=N/C#N
NCGC00257503-01,CCCCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00259784-01,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]3(O2)[C@H](C)CC(=O)C=C3OC
NCGC00185754-01,[H][C@@](CCCCN)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]2([H])CSSC[C@]([H])(NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@]([H])(CC3=CC=C(O)C=C3)C(=O)N[C@@]([H])(CC4=CC=CC=C4)C(=O)N[C@@]([H])(CCC(N)=O)C(=O)N[C@@]([H])(CC(N)=O)C(=O)N2)C(=O)NCC(N)=O
NCGC00260474-01,CN1C=NC2=C1NC(N)=NC2=O
NCGC00255874-01,[K+].OC(=O)C1=C(C=CC=C1)C([O-])=O
NCGC00256074-01,CCCCOC(=O)CO
NCGC00258494-01,NC1=C2C(O)=NN=C(O)C2=CC=C1
NCGC00255329-01,CC(C)CCO
NCGC00255172-01,CCOC1=CC(=C(N)C=C1)[N+]([O-])=O
NCGC00256588-01,Cl.CC(CN1C2=CC=CC=C2SC3=C1C=CC=C3)N(C)C
NCGC00256451-01,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
NCGC00254016-01,Cl.Cl.COC1=CC(=CC=C1N)C2=CC=C(N)C(OC)=C2
NCGC00259654-01,CCCCCCOCCO
NCGC00163125-02,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC=C4C[C@@H](O)CC[C@]34C
NCGC00016322-08,NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(N)C=C2
NCGC00181789-01,Cl.CC(=O)OCC(=O)NCCCOC1=CC(CN2CCCCC2)=CC=C1
NCGC00257445-01,NCC1=CC(CN)=CC=C1
NCGC00255157-01,CCCCCC(=O)OCC
NCGC00159373-02,CC(C)C1=CC=C(C)C=C1O
NCGC00254205-01,CCCSC(=O)N(CCC)CCC
NCGC00254330-01,CCCCN(CCCC)N=O
NCGC00258481-01,CCSCC
NCGC00015691-03,NCCS
NCGC00024824-01,OC(=O)CC1=NN(CC2=CC=C(Br)C=C2F)C(=O)C3=CC=CC=C13
NCGC00259715-01,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl
NCGC00254083-01,CCCCOCCO
NCGC00163786-03,CC(C)=C[C@@H]1[C@@H](C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C
NCGC00260108-01,CCCCCCCCCCCCCCCCCC#N
NCGC00257899-01,NC1=CC=CC=C1
NCGC00258215-01,O=C1OC(=O)C2CCCCC12
NCGC00257683-01,SCC1=CC=CC=C1
NCGC00256196-01,CCCCCCC\C=C\C=O
NCGC00091839-03,CCCC(=O)C1=CC(O)=C(O)C=C1O
NCGC00254635-01,CCCOC(=O)C1=CC=C(N=C1)C(=O)OCCC
NCGC00015821-02,NC(=O)CN1CCCC1=O
NCGC00165769-02,Cl.CCOC(=O)COC1=C(Cl)C2=C(C=C1)C(C)=C(CCN(CC)CC)C(=O)O2
NCGC00016609-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])C[C@@H]5S[C@@H]5C[C@]34C
NCGC00259529-01,CCN(CC)C(=O)C1=CC=CC(C)=C1
NCGC00255379-01,OC1=NN=C(O1)C2=CC=C(O2)[N+]([O-])=O
NCGC00258137-01,[Cl-].CCCCN1C=C[N+](C)=C1C
NCGC00256930-01,N(C1=CC=CC=C1)C2=C3C=CC=CC3=CC=C2
NCGC00259087-01,CC(C)CC(C)CC(=O)CC(C)C
NCGC00258736-01,COC(C)(C)C
NCGC00181356-01,[I-].C[N+]4(CC1COC(O1)(C2CCCCC2)C3=CC=CC=C3)CCCCC4
NCGC00257834-01,CCCC=C
NCGC00254871-01,CNC(=O)CSP(=O)(OC)OC
NCGC00255107-01,CC(=C)C(=O)OCC1CCCO1
NCGC00255622-01,[H][C@]12C[C@]1(CC(=O)[C@@H]2C)C(C)C
NCGC00260531-01,OC1=CC=CC2=CC=CN=C12
NCGC00257947-01,COC(=O)C1=C(CS(=O)(=O)NC(=O)NC2=NC(OC)=CC(OC)=N2)C=CC=C1
NCGC00257243-01,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4
NCGC00181160-01,[H][C@@]12CCC3=CC(C(C)C)=C(C=C3[C@@]1(C)CCC[C@@]2(C)C(O)=O)S(O)(=O)=O
NCGC00159429-02,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
NCGC00254852-01,CCCCCC\C=C/CCCCCCCC(O)=O
NCGC00090766-01,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00094700-01,CC(C(O)=O)C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O
NCGC00015931-04,Cl.NC1CCN(CC1)C2=NC(Cl)=CC=C2
NCGC00256934-01,CC(C)OB(OC(C)C)OC(C)C
NCGC00015506-03,OC(=O)\C=C/C(O)=O.NC1=C2C=CC=CC2=NC3=C1C(O)CCC3
NCGC00160467-01,C1CCN(CC1)C2(CCCCC2)C3=CC=CS3
NCGC00255030-01,CCCCN
NCGC00181768-01,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)CC[C@]34C
NCGC00183051-01,CC([O-])=O.C[N+](C)(C)CCO
NCGC00254341-01,CCCOC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC)CC2)C3=NC4=C(CC)N(CC5=CC=CC=N5)N=C4C(=O)N3
NCGC00016784-01,Cl.CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC
NCGC00259809-01,CC(CCO)CC(C)(C)C
NCGC00257333-01,CCCCCCCC\C=C/CCCCCCCC(=O)OCCO
NCGC00259828-01,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
NCGC00257483-01,CCC\C=C\C=O
NCGC00018140-02,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
NCGC00016800-01,ClC1=CC(Cl)=C(C=C1)C(CN2C=CN=C2)OCC3=C(Cl)C=CC=C3Cl
NCGC00259205-01,ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O
NCGC00257469-01,CC(=O)OCCOC(C)=O
NCGC00257769-01,Cl.CC1=CC(N)=CC=C1
NCGC00256107-01,CC(=O)O[Si](OC(C)=O)(OC(C)=O)C=C
NCGC00258889-01,O=C(OCC1=CC=CC=C1)C2=CC=CC=C2
NCGC00164617-01,COC1=C(C=C(C=C1)C2=CC=C3C=C(C=CC3=C2)C(O)=O)C45CC6CC(CC(C6)C4)C5
NCGC00260534-01,CC(C)(C)C1=CC(O)=C(O)C=C1
NCGC00257831-01,O=CC(=O)C1=CC=CC=C1
NCGC00254175-01,C1=CC=C(C=C1)C2=CC=CC=C2
NCGC00254085-01,COC1=CC=C(CC=C)C=C1OC
NCGC00181345-01,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CS[C@@H](CN(CC(O)=O)C2=O)C3=CC=CS3
NCGC00260020-01,OC(=O)C1=CC=C(O)C=C1O
NCGC00259586-01,OC1=C(Cl)C=C(Cl)C=C1Cl
NCGC00256457-01,CC1=CC=C(OP(=O)(OC2=CC=C(C)C=C2)OC3=CC=C(C)C=C3)C=C1
NCGC00260508-01,ClC1=C2C=CC=CC2=C(C=O)C3=CC=CC=C13
NCGC00258970-01,O=S1(=O)CCCO1
NCGC00254778-01,COP(=O)(NC(C)=O)SC
NCGC00164336-01,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
NCGC00257320-01,C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3
NCGC00258623-01,ClC(=O)C(Cl)(Cl)Cl
NCGC00181797-01,Cl.CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]5C[C@](C)(N)C(O)[C@H](C)O5)C6=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]7C8=CC=C(O)C(=C8)C9=C(C=C(O)C=C9O)[C@@H](NC(=O)[C@@H](NC7=O)[C@H](O)C%10=CC(Cl)=C(O6)C=C%10)C(O)=O)C(Cl)=C2
NCGC00164578-01,CC1=NC=C(C=C1)C2=NC=C(Cl)C=C2C3=CC=C(C=C3)S(C)(=O)=O
NCGC00255638-01,CCCCN(CCC(=O)OCC)C(C)=O
NCGC00254322-01,CCCCCCCCCCCCCCO
NCGC00256411-01,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2N\C(C(=O)C2=C1)=C3\NC4=CC=C(C=C4C3=O)S([O-])(=O)=O
NCGC00159416-02,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
NCGC00016099-04,OC(CNCCNC(=O)N1CCOCC1)COC2=CC=C(O)C=C2
NCGC00168759-02,OC(=O)C1=CC=CC(=C1)C2=NOC(=N2)C3=CC=CC=C3F
NCGC00015864-02,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
NCGC00247336-02,[H][C@@]12CC[C@@H](O)[C@@H]3OC4=C(OC)C=CC5=C4[C@]13CCN(C)[C@@H]2C5
NCGC00257239-01,CC(C)(C1=CC=CC=C1)C2=CC=C(NC3=CC=C(C=C3)C(C)(C)C4=CC=CC=C4)C=C2
NCGC00258129-01,CC1=CC=C(C=C1)S([O-])(=O)=O.CC(C)C[P+](C)(CC(C)C)CC(C)C
NCGC00258660-01,CC(C)CC(C)=O
NCGC00013235-01,[H][C@@]12CC[C@H](OP(O)(O)=O)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00092377-03,CC1=NN=C2CN=C(C3=C(SC(CCC(=O)N4CCOCC4)=C3)N12)C5=C(Cl)C=CC=C5
NCGC00254773-01,CCCCCCCCCO
NCGC00259115-01,COC1=CC=C(C=O)C=C1OC
NCGC00259948-01,CCCCOCCO
NCGC00256950-01,OCCN(CCO)CCO.CCCCCCCCCCCCOS(O)(=O)=O
NCGC00093366-03,NC1=CC=C(C=C1)[As](O)(O)=O
NCGC00183843-01,OC(=O)CCCCCCNC1C2=C(CCC3=C1C=CC=C3)C=CC=C2
NCGC00255849-01,CCOC1=CC=C(NC(=O)CC(C)=O)C=C1
NCGC00257397-01,CCC(C)(C)C1CCC(CC1)OC
NCGC00259107-01,CCC(C)CO
NCGC00260237-01,[I-].CCCC[N+]1=CC=C(C)C=C1
NCGC00257421-01,O.O.O.[PbH2++].CC([O-])=O.CC([O-])=O
NCGC00256666-01,COC1=CC=C(COC=O)C=C1
NCGC00258837-01,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
NCGC00260673-01,NC1=CC=C(C=C1)\N=N\C2=CC=C(N)C=C2
NCGC00159519-02,[H][C@@](CCN(C(C)C)C(C)C)(C1=CC=CC=C1)C2=C(O)C=CC(C)=C2
NCGC00254173-01,COC1=C(OC)C(=CC=C1)[C@H](O)C2CCN(CCC3=CC=C(F)C=C3)CC2
NCGC00259240-01,CCCCOC(=O)CC
NCGC00181151-01,[I-].[I-].[H][C@]12CC3=CC=C(OC4=C(OC)C(OC)=CC5=C4[C@@]([H])(CC6=CC=C(OC)C(OC7=CC1=C(CC[N+]2(C)C)C=C7OC)=C6)[N+](C)(C)CC5)C=C3
NCGC00254326-01,COC(C)COC(C)COC(C)CO
NCGC00090962-05,O=C1C=C(OC2=CC=CC=C12)C3=CC=CC=C3
NCGC00160658-01,ClC1=CC=C(OCC(=O)OCCNC23CC4CC(CC(C4)C2)C3)C=C1
NCGC00255979-01,OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO
NCGC00260359-01,[H][C@@]1(F)CN(C(=O)OC(C)(C)C)[C@@]([H])(C1)C(O)=O
NCGC00018172-03,CC1CC2=C(C=CC=C2)N1NC(=O)C3=CC(=C(Cl)C=C3)S(N)(=O)=O
NCGC00255368-01,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
NCGC00255878-01,ClC1=C2NC3=C4C(=O)C5=C(C=CC=C5)C(=O)C4=CC(Cl)=C3NC2=C6C(=O)C7=C(C=CC=C7)C(=O)C6=C1
NCGC00258423-01,CCCCC(=O)N(C)C
NCGC00257974-01,COCCOC
NCGC00257254-01,CC(=O)CCC1=CC=CC=C1
NCGC00256650-01,CSCCCN=C=S
NCGC00258781-01,OC1=CC=C(C=C1)C(=O)C2=CC=CC=C2
NCGC00168780-01,Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2
NCGC00167477-01,NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)C3=C(O1)C=CC(F)=C3
NCGC00257147-01,CC=CC(O)=O
NCGC00260457-01,C1=CN=CC=N1
NCGC00094925-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])C4=CC=C(OC(C)=O)C=C4CC[C@@]23[H]
NCGC00256699-01,COC1=CC=CC=C1\C=C\C=O
NCGC00260079-01,ClP(Cl)(Cl)(Cl)Cl
NCGC00255702-01,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1
NCGC00257216-01,OC1=CC=C(C=C1)N=O
NCGC00016973-01,N#CC1=CC=C(C=C1)C(N2C=NC=N2)C3=CC=C(C=C3)C#N
NCGC00258039-01,CCCC(CC)CCCCCCCN
NCGC00016862-01,[H][C@@]1(CCC)O[C@@H]2C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
NCGC00258415-01,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(=O)OC
NCGC00260232-01,[I-].CCCC[N+]1=CC=CC(C)=C1
NCGC00257507-01,CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2
NCGC00254650-01,OC(=O)COC1=CC=C(Cl)C=C1
NCGC00257505-01,[H]\C(C(O)=O)=C(/[H])C([O-])=O.C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C2=NC=CC=C2
NCGC00258858-01,CC(=O)OC(C)(CCC=C(C)C)C=C
NCGC00256959-01,C1=CC=C(C=C1)B(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00255411-01,COC(=O)COC1=C(Cl)C=C(Cl)C=C1
NCGC00256230-01,C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C
NCGC00254570-01,O=C1NNC(=O)C=C1
NCGC00259666-01,CC(=O)OC1=C(C=CC=C1)C(O)=O
NCGC00095271-01,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@]2([H])C3=CC=CC(O)=C3C(=O)C4=C2C=C(CO)C=C4O
NCGC00255800-01,NCC1=CN=CC=C1
NCGC00259417-01,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
NCGC00258755-01,C[C@H]1CCC[C@H](O)CCCCCC2=C(C(O)=CC(O)=C2)C(=O)O1
NCGC00259344-01,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]4(F)[C@@]2([H])CCC5=CC(=O)C=C[C@]45C
NCGC00093534-02,Cl.CCN(CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C1
NCGC00256260-01,CC(CC=O)C1=CC=CC=C1
NCGC00257881-01,BrC1=CC=C(OC2=C(Br)C=C(Br)C=C2)C(Br)=C1
NCGC00096077-03,CN1CCN(CC1)C2=NC3=C(NC4=C2C=C(C)S4)C=CC=C3
NCGC00094764-01,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00160555-01,OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(=O)N\N=C\C2=CC=C(O2)[N+]([O-])=O
NCGC00256743-01,CC=C(C)C(=O)OCCC(C)CCC=C(C)C
NCGC00257688-01,OS(O)(=O)=O.NNCCC1=CC=CC=C1
NCGC00257100-01,CC(C)CC1=CC=CC=C1
NCGC00256922-01,CC(C)CCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC(C)C)C(=C1)C(=O)OCCCCCCCC(C)C
NCGC00255789-01,CCN(CCC#N)C1=CC=C(C=C1)N=NC2=C(Cl)C=C(C=C2Cl)[N+]([O-])=O
NCGC00257436-01,CCCCCCCCCCCCCC(=O)OCC
NCGC00253913-01,O=C1CCCO1
NCGC00183108-01,NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2)C(N)=N)C=C1
NCGC00160474-01,O=C1CCC(C2CCN(CC3=CC=CC=C3)CC2)(C(=O)N1)C4=CC=CC=C4
NCGC00090773-04,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O
NCGC00257128-01,ClCCBr
NCGC00014486-01,Cl.COC1=C2C(=O)C3=C(C(=O)C2=CC=C1)C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO
NCGC00260484-01,CC1=C2C=C3C=CC4=C5C(C=CC(C2=CC=C1)=C35)=CC=C4
NCGC00025132-01,CC1(C)OC2=C(C=C(C=C2)C#N)[C@H]([C@@H]1O)N3CCCC3=O
NCGC00256785-01,CCCCCCCOC(C)=O
NCGC00255633-01,COCCOCCOCCOCCOCCO
NCGC00259675-01,CCCCC(CC)COP(O)(O)=O
NCGC00259436-01,CCCCCCCCCCCCCCCCCC(O)=O
NCGC00260528-01,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
NCGC00166037-02,[Ca++].OCC(CO)OP([O-])([O-])=O
NCGC00095209-01,CC(C)=CCOC1=C2OC(=O)C=CC2=CC3=C1OC=C3
NCGC00256640-01,OCCN(CCO)CCC#N
NCGC00258060-01,CC1=C(O)C=CC(O)=C1
NCGC00259348-01,CCCCCCCCS
NCGC00016978-01,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N3CCCCC3)=C1)C(O)=O
NCGC00160597-01,CCOC(=O)C1=CC(=NC2=C1C=C(C)C=C2)C3=CC=CC=C3
NCGC00255116-01,C=O
NCGC00258574-01,CC(C)(O)C#CC(C)(C)O
NCGC00166115-01,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
NCGC00259563-01,CC1(C)C2CCC(C2)C1=C
NCGC00256014-01,C(OCC1CCC(COCC2CO2)CC1)C3CO3
NCGC00257193-01,CC1=CC=CC(C)=C1[N+]([O-])=O
NCGC00256047-01,CCOC1=CC(=C(OCC)C=C1N2CCOCC2)[N+]([O-])=O
NCGC00182987-01,CC(=O)SCC(CC(=O)C1=CC=C(C)C=C1)C(O)=O
NCGC00016529-01,Cl.CCCCOC1=CC=C(OCCCN2CCOCC2)C=C1
NCGC00015429-08,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
NCGC00256883-01,[H][C@]12CCO[C@]1(C)CC[C@@]3([H])C(C)(C)CCC[C@]23C
NCGC00256261-01,CCCCCCCCCCCCOCCO
NCGC00260134-01,[Cl-].[Cl-].[Ca++]
NCGC00254923-01,CCNC1=NC(NC(C)C)=NC(Cl)=N1
NCGC00254007-01,NC(=O)NO
NCGC00258667-01,CC1=CC=C(O)C=C1
NCGC00259165-01,OCCOCCO
NCGC00254734-01,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1
NCGC00257031-01,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1
NCGC00256819-01,CC(C)COC(=O)C=CC1=CC=CC=C1
NCGC00160605-01,CC(=O)NC1=CC=C(OC(C)=O)C=C1
NCGC00024607-01,NC1=CC(=O)N=C(N)N1
NCGC00016055-05,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
NCGC00256422-01,O=C(C1CCCCC1)N2CC3N(CCC4=C3C=CC=C4)C(=O)C2
NCGC00164494-01,CC(=O)NC1=NC=C(S1)[N+]([O-])=O
NCGC00183101-01,Cl.C\C(N(CC1=C(N)N=C(C)N=C1)C=O)=C(\CCO)SSCC2CCCO2
NCGC00090940-01,COC(C)=O
NCGC00255437-01,COC(C)(C)CCCC(C)CC=O
NCGC00257408-01,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO
NCGC00256703-01,Cl.COC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2
NCGC00164597-01,Cl.CCCN1CCCC[C@H]1C(=O)NC2=C(C)C=CC=C2C
NCGC00016362-01,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
NCGC00255879-01,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2
NCGC00258823-01,OC(=O)CC(C(CC(O)=O)C(O)=O)C(O)=O
NCGC00159410-04,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
NCGC00094285-01,Cl.CCCN1CCC[C@H](C1)C2=CC(O)=CC=C2
NCGC00094516-01,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2
NCGC00095173-01,Cl.CN1CCCC(CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=CC=CC=C4C2=O
NCGC00247683-01,Cl.CCC(=O)OC1(CCN(C)CC1)C2=CC=CC=C2
NCGC00091396-02,OC(C(=O)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00258183-01,ClC(=O)C1=CC(Cl)=CC(Cl)=C1
NCGC00016948-01,CC1COC2=C(N3CCN(C)CC3)C(F)=CC4=C2N1C=C(C(O)=O)C4=O
NCGC00015159-06,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
NCGC00160385-01,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
NCGC00255050-01,ClCC=O
NCGC00163906-02,NC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
NCGC00255355-01,CC1=C(O)C=CC=C1O
NCGC00160361-01,COC1=CC(=CC=C1O)C(=S)N2CCOCC2
NCGC00259199-01,NC1=CN=CC=C1
NCGC00183876-01,[H]C(=C([H])C(O)=O)C(O)=O.CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C
NCGC00256611-01,CCCCCC(C)=O
NCGC00164547-01,COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC4CCCC4)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C5=CC=CC=C5C
NCGC00159437-02,Cl.CC(CN(C)C)C(C)(O)CC1=CC=C(Cl)C=C1
NCGC00015242-04,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O
NCGC00065890-02,CC1=CC=NC2=C1NC(=O)C3=CC=CN=C3N2C4CC4
